"location","month","day","year","sex","museum","species","assecion_number","from"
"Mexico",8,13,1969,"female","CUMV","Porzana carolina","aa7fa3fc-bbfe-11e6-a6af-04012ac90e01","vertnetFILE"
"Mexico",8,28,1957,"female","MMNH","Porzana carolina","f2010d66-7e08-11e3-81f0-12313d0829ba","vertnetFILE"
"Mexico",8,28,1957,"female","MMNH","Porzana carolina","f2010f6e-7e08-11e3-81f0-12313d0829ba","vertnetFILE"
"Mexico",8,29,1892,"male","USNM","Porzana carolina","http://n2t.net/ark:/65665/36bd03882-ce6e-41f6-8323-95aa708c831e","vertnetFILE"
"Mexico",8,17,1903,"female","USNM","Porzana carolina","http://n2t.net/ark:/65665/3b558cd46-1f13-413f-b294-dcff197295a6","vertnetFILE"
"Mexico",8,28,1957,"female","MMNH","Porzana carolina","f201116c-7e08-11e3-81f0-12313d0829ba","vertnetFILE"
"Mexico",5,15,1964,"female","MMNH","Porzana carolina","f387d214-7e08-11e3-81f0-12313d0829ba","vertnetFILE"
"Mexico",8,20,1888,"female","NHMUK","Porzana carolina (Linnaeus)","ef31cf96-33a7-47cb-af89-4fb10c41a414","vertnetFILE"
"Mexico",8,27,1953,"female","SDNHM","Porzana carolina","urn:catalog:SDNHM:Birds:29958","vertnetFILE"
"Mexico",6,10,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS631582281","gbifFILE"
"Mexico",7,3,1964,NA,"MLZ","Porzana carolina (Linnaeus","http://arctos.database.museum/guid/MLZ:Bird:65421?seid=1619375","gbifFILE"
"Mexico",7,21,2011,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS126712126","gbifFILE"
"Mexico",7,21,2011,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS123346247","gbifFILE"
"Mexico",6,18,2011,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_MEX:OBS121470410","gbifFILE"
"Mexico",6,10,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS629991765","gbifFILE"
"Mexico",6,2,1958,NA,"NO DISPONIBLE","Porzana carolina (Linnaeus","urn:catalog:NO DISPONIBLE:NO DISPONIBLE:NO DISPONIBLE:252902","gbifFILE"
"Mexico",6,2,1958,NA,"NO DISPONIBLE","Porzana carolina (Linnaeus","urn:catalog:NO DISPONIBLE:NO DISPONIBLE:NO DISPONIBLE:252903","gbifFILE"
"Mexico",6,10,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS629789657","gbifFILE"
"Mexico",7,14,2007,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS677501493","gbifFILE"
"Mexico",7,24,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS642857534","gbifFILE"
"Mexico",7,20,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS641381896","gbifFILE"
"Mexico",6,10,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS629919374","gbifFILE"
"Nicaragua",6,27,2014,NA,"FROMEBIRD","Porzana carolina",NA,"ebirdFILE"
"Nicaragua",6,27,2014,NA,"FROMEBIRD","Porzana carolina",NA,"ebirdFILE"
"Puerto Rico",6,15,2010,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS94562125","gbifFILE"
"Puerto Rico",6,15,2010,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS94552866","gbifFILE"
"Puerto Rico",6,1,2013,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_PR:OBS199767078","gbifFILE"
"Virgin Islands",7,10,2007,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS424657726","gbifFILE"
