location,month,day,year,sex,museum,species,assecion_number,from,cut
Colombia,5,1,1936,undetermined,USNM,Porzana carolina,http://n2t.net/ark:/65665/309b73d5e-2d41-48f3-9138-8ba909e6523f,vertnetFILE,
Colombia,NA,NA,1876,female,NHMUK,Porzana carolina,7b73ab87-017f-45e3-bbee-68ee4aafdc6a,vertnetFILE,
Colombia,NA,NA,NA,male,AMNH,Porzana carolina,,vertnetFILE,
Colombia,NA,NA,NA,,AMNH,Porzana carolina,,vertnetFILE,
Colombia,7,12,2006,NA,Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS),Porzana carolina (Linnaeus,CALIDRIS:CNAA:020216-110731:YCS3389,gbifFILE,
Colombia,7,13,2008,NA,Asociación para el Estudio y Conservación de las Aves Acuáticas en Colombia (CALIDRIS),Porzana carolina (Linnaeus,CALIDRIS:CNAA:020216-110731:YCS6137,gbifFILE,
Colombia,7,NA,1990,NA,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),Porzana carolina (Linnaeus,IAvH:IAvH-A-7287,gbifFILE,
Colombia,7,12,2006,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD:OBS425809322,gbifFILE,
Colombia,6,25,2006,NA,Red Nacional de Observadores de Aves (RNOA),Porzana carolina (Linnaeus,AVCO:RNOA:AVES:361464,gbifFILE,
Colombia,6,25,2006,NA,Red Nacional de Observadores de Aves (RNOA),Porzana carolina (Linnaeus,AVCO:RNOA:AVES:312022,gbifFILE,
Colombia,6,25,2006,NA,Red Nacional de Observadores de Aves (RNOA),Porzana carolina (Linnaeus,AVCO:RNOA:AVES:000006,gbifFILE,
Colombia,7,29,1995,NA,Red Nacional de Observadores de Aves (RNOA),Porzana carolina (Linnaeus,AVCO:RNOA:AVES:097122,gbifFILE,
Colombia,7,29,1995,NA,Red Nacional de Observadores de Aves (RNOA),Porzana carolina (Linnaeus,AVCO:RNOA:AVES:167097,gbifFILE,
Colombia,7,12,2006,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Columbia,NA,NA,1876,NA,Tring,Sora,NA,tringFILE,
Columbia,5,NA,1944,f,field_museum,Sora,416082,fieldmuseumFILE,
Costa Rica,NA,NA,NA,NA,Tring,Sora,NA,tringFILE,
Costa Rica,10,14,1899,male,ROM,Porzana carolina,URI:catalog:ROM:Birds:37375,vertnetFILE,
Costa Rica,9,9,1904,male,AMNH,Porzana carolina,,vertnetFILE,
Costa Rica,9,29,1893,female,MCZ,Porzana carolina,MCZ:Orn:116368,vertnetFILE,
Costa Rica,10,2,1897,male,MCZ,Porzana carolina,MCZ:Orn:116369,vertnetFILE,
Costa Rica,11,15,1905,male,MCZ,Porzana carolina,MCZ:Orn:119214,vertnetFILE,
Costa Rica,10,16,1903,female,MCZ,Porzana carolina,MCZ:Orn:122558,vertnetFILE,
Costa Rica,10,19,1899,male,MCZ,Porzana carolina,MCZ:Orn:116370,vertnetFILE,
Costa Rica,NA,NA,NA,female,AMNH,Porzana carolina,,vertnetFILE,
Cuba,6,20,1933,f,field_museum,Sora,157464,fieldmuseumFILE,
Cuba,10,17,1955,male,YPM,Porzana carolina,urn:uuid:98f8d0c4-3136-497f-b8cf-cdc81edf728e,vertnetFILE,
Cuba,10,17,1955,male,YPM,Porzana carolina,urn:uuid:2fb3388a-a4b8-4c4e-a2e7-ffe610bbd5f2,vertnetFILE,
Cuba,2,NA,2004,,CLO,Porzana carolina,1d6feb70-6710-49c2-8a05-7411eab89047,vertnetFILE,
Cuba,2,23,1915,male,MCZ,Porzana carolina,MCZ:Orn:67211,vertnetFILE,
Cuba,10,16,1914,female,USNM,Porzana carolina,http://n2t.net/ark:/65665/3204f8e3e-fca4-49fe-bc2d-ac3da37a7433,vertnetFILE,
Cuba,10,26,1908,male,USNM,Porzana carolina,http://n2t.net/ark:/65665/32439637b-0fdc-4aeb-a25e-fd40a4ad1634,vertnetFILE,
Cuba,9,9,1955,female,YPM,Porzana carolina,urn:uuid:d06d8dda-cab7-4b65-a722-74de482e644b,vertnetFILE,
Cuba,NA,NA,NA,,RBINS,"Porzana carolina (Linnaeus, 1758)",urn:catalog:RBINS:Aves:431586,vertnetFILE,
Cuba,6,20,1933,NA,FMNH,Porzana carolina (Linnaeus,f4d4be0f-82ca-4ba9-8781-2aad657162ab,gbifFILE,
Dominica,3,19,1964,undetermined,USNM,Porzana carolina,http://n2t.net/ark:/65665/31749f827-56a0-4bf7-ac53-11122b07a2e5,vertnetFILE,
Dominica,NA,NA,NA,,LSUMZ,Porzana carolina,urn:catalog:LSUMZ:Birds:141628,vertnetFILE,
Dominican Republic,3,19,1922,male,USNM,Porzana carolina,http://n2t.net/ark:/65665/315643979-e75f-41ce-8221-16c298d2a399,vertnetFILE,
Dominican Republic,3,18,1922,male,USNM,Porzana carolina,http://n2t.net/ark:/65665/36178fab0-1469-4a72-88bb-67829e4dad42,vertnetFILE,
Dominican Republic,3,18,1922,male,USNM,Porzana carolina,http://n2t.net/ark:/65665/3cfff405f-62f9-483a-beed-114b0eb411ae,vertnetFILE,
Ecuador,NA,NA,1876,NA,Tring,Sora,NA,tringFILE,
Ecuador,2,NA,1880,NA,Tring,Sora,NA,tringFILE,
Ecuador,2,6,1955,NA,Tring,Sora,NA,tringFILE,
Ecuador,NA,NA,NA,NA,Tring,Sora,NA,tringFILE,
Ecuador,2,13,1902,female,ROM,Porzana carolina,URI:catalog:ROM:Birds:37387,vertnetFILE,
Ecuador,2,3,1913,male,AMNH,Porzana carolina,,vertnetFILE,
Ecuador,3,10,1925,female,AMNH,Porzana carolina,,vertnetFILE,
Ecuador,NA,NA,NA,female,AMNH,Porzana carolina,,vertnetFILE,
El Salvador,10,29,1975,female,AMNH,Porzana carolina,,vertnetFILE,
Grenada,4,4,1891,,NHMUK,Porzana carolina,71094fd4-1a50-4a11-86cc-ffcb552e7981,vertnetFILE,
Grenada,1,2,1904,female,NHMUK,Porzana carolina,2503b568-95b6-432e-8925-d978f78a0094,vertnetFILE,
Grenada,12,2,1902,,NHMUK,Porzana carolina,b1afcb5f-e1db-4c9f-a018-e6a4c3fa676a,vertnetFILE,
Grenada,10,13,1881,female,USNM,Porzana carolina,http://n2t.net/ark:/65665/3074bf185-bac5-4c2d-a9c8-eee0c5e9a18f,vertnetFILE,
Grenada,10,13,1881,female,USNM,Porzana carolina,http://n2t.net/ark:/65665/399bba392-cb06-48f5-9671-4df2ccf85db5,vertnetFILE,
Guatemala,NA,NA,NA,NA,Tring,Sora,NA,tringFILE,
Guatemala,10,18,1961,NA,Tring,Sora,NA,tringFILE,
Guatemala,NA,NA,NA,NA,Tring,Sora,NA,tringFILE,
Guatemala,NA,NA,1861,NA,Tring,Sora,NA,tringFILE,
Guatemala,11,NA,1859,NA,Tring,Sora,NA,tringFILE,
Guatemala,2,9,1858,NA,Tring,Sora,NA,tringFILE,
Guatemala,NA,NA,1848,,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/17,vertnetFILE,
Guatemala,NA,NA,NA,,MCZ,Porzana carolina,MCZ:Orn:344054,vertnetFILE,
Guatemala,NA,NA,NA,,RBINS,"Porzana carolina (Linnaeus, 1758)",urn:catalog:RBINS:Aves:331956,vertnetFILE,
Guatemala,NA,NA,NA,undetermined,USNM,Porzana carolina,http://n2t.net/ark:/65665/36e34ecb1-fe9c-49b8-9084-bae46286ac03,vertnetFILE,
Guatemala,NA,NA,NA,,AMNH,Porzana carolina,,vertnetFILE,
Guatemala,NA,NA,NA,,RBINS,"Porzana carolina (Linnaeus, 1758)",urn:catalog:RBINS:Aves:319970,vertnetFILE,
Guatemala,7,18,2009,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,
Guyana,NA,NA,1911,NA,Tring,Sora,NA,tringFILE,
Haiti,1,1,1800,,CHAS,Porzana carolina,http://arctos.database.museum/guid/CHAS:Bird:1754?seid=3227729,vertnetFILE,
Haiti,3,11,1918,female,USNM,Porzana carolina,http://n2t.net/ark:/65665/3f10b0407-a588-49fd-80ba-71c4dcc1d11f,vertnetFILE,
Honduras,10,12,1931,female,MCZ,Porzana carolina,MCZ:Orn:161085,vertnetFILE,
Honduras,NA,NA,NA,,LSUMZ,Porzana carolina,urn:catalog:LSUMZ:Birds:28950,vertnetFILE,
Jamaica,NA,NA,NA,male,"Ohio State University - Bird Division, Columbus, OH (OSUM)",Porzana carolina,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Birds__TB__1481,vertnetFILE,
Jamaica,NA,NA,NA,male,YPM,Porzana carolina,urn:uuid:a03b271a-20f1-44ff-93cd-c8c7fc7f87a6,vertnetFILE,
Jamaica,1,22,1909,,MCZ,Porzana carolina,MCZ:Orn:122885,vertnetFILE,
Jamaica,1,26,1909,male,MCZ,Porzana carolina,MCZ:Orn:122886,vertnetFILE,
Jamaica,1,22,1909,male,MCZ,Porzana carolina,MCZ:Orn:122889,vertnetFILE,
Jamaica,1,22,1909,male,MCZ,Porzana carolina,MCZ:Orn:122890,vertnetFILE,
Jamaica,1,20,1909,male,MCZ,Porzana carolina,MCZ:Orn:122891,vertnetFILE,
Jamaica,1,7,1909,male,MCZ,Porzana carolina,MCZ:Orn:122892,vertnetFILE,
Jamaica,1,26,1909,female,MCZ,Porzana carolina,MCZ:Orn:122894,vertnetFILE,
Jamaica,12,22,1859,male,NHMUK,Porzana carolina,36a401ec-9844-41af-a15f-8e7941001b63,vertnetFILE,
Jamaica,1,8,1909,female,NHMUK,Porzana carolina,b4fe2cdf-cb84-4d36-aea3-37b810a2d0a6,vertnetFILE,
Jamaica,1,7,1909,male,MCZ,Porzana carolina,MCZ:Orn:122887,vertnetFILE,
Jamaica,1,22,1909,female,MCZ,Porzana carolina,MCZ:Orn:122888,vertnetFILE,
Jamaica,1,22,1909,female,MCZ,Porzana carolina,MCZ:Orn:122893,vertnetFILE,
Jamaica,1,21,1909,male,MCZ,Porzana carolina,MCZ:Orn:122895,vertnetFILE,
Jamaica,1,14,1909,male,MCZ,Porzana carolina,MCZ:Orn:122896,vertnetFILE,
Jamaica,1,6,1909,male,MCZ,Porzana carolina,MCZ:Orn:122897,vertnetFILE,
Jamaica,11,11,1879,,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/14,vertnetFILE,
Jamaica,3,NA,1880,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/15,vertnetFILE,
Jamaica,NA,NA,NA,,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/11,vertnetFILE,
Lesser Antilles,10,17,1955,female,ANSP,Porzana carolina,ANSP ORN 169955,vertnetFILE,
Lesser Antilles,1,3,1929,undetermined,ANSP,Porzana carolina,ANSP ORN 86376,vertnetFILE,
Mexico,2,NA,1886,NA,Tring,Sora,NA,tringFILE,
Mexico,2,NA,1884,NA,Tring,Sora,NA,tringFILE,
Mexico,2,NA,1886,NA,Tring,Sora,NA,tringFILE,
Mexico,8,20,1888,male,Tring,Sora,91.11.4.180,tringFILE,
Mexico,1,14,1955,female,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:59068?seid=1573953,vertnetFILE,
Mexico,1,18,1955,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:59069?seid=268106,vertnetFILE,
Mexico,7,3,1964,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:65421?seid=1619375,vertnetFILE,
Mexico,1,7,1942,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:66553?seid=1626131,vertnetFILE,
Mexico,9,25,1933,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:9828?seid=1477927,vertnetFILE,
